Start_Time,End_Time,Game_Duration
2017-06-04 07:06:40.000,2017-06-04 09:53:20.000,10000.0
2017-05-26 14:46:40.000,2017-05-26 17:33:20.000,10000.0
2017-05-26 03:40:00.000,2017-05-26 06:26:40.000,10000.0
2017-04-25 06:00:00.000,2017-04-25 08:46:40.000,10000.0
2017-05-23 00:40:00.000,2017-05-23 03:26:40.000,10000.0
2017-08-31 17:20:00.000,2017-08-31 20:06:40.000,10000.0
2017-08-28 17:06:40.000,2017-08-28 19:53:20.000,10000.0
2017-08-24 15:53:20.000,2017-08-24 18:40:00.000,10000.0
2017-08-31 00:40:00.000,2017-08-31 03:26:40.000,10000.0
2017-08-27 21:40:00.000,2017-08-28 00:26:40.000,10000.0
2017-07-10 23:40:00.000,2017-07-11 02:26:40.000,10000.0
2017-07-03 22:13:20.000,2017-07-04 01:00:00.000,10000.0
2017-05-28 16:46:40.000,2017-05-28 19:33:20.000,10000.0
2017-05-27 21:20:00.000,2017-05-28 00:06:40.000,10000.0
2017-09-01 07:13:20.000,2017-09-01 10:00:00.000,10000.0
2017-08-31 06:13:20.000,2017-08-31 09:00:00.000,10000.0
2017-08-14 14:13:20.000,2017-08-14 17:00:00.000,10000.0
2017-07-12 00:40:00.000,2017-07-12 03:26:40.000,10000.0
2017-06-06 14:40:00.000,2017-06-06 17:26:40.000,10000.0
2017-05-31 00:20:00.000,2017-05-31 03:06:40.000,10000.0
2017-05-26 17:33:20.000,2017-05-26 20:20:00.000,10000.0
2017-06-02 16:13:20.000,2017-06-02 19:00:00.000,10000.0
2016-12-21 19:53:20.000,2016-12-21 22:40:00.000,10000.0
2017-05-20 14:20:00.000,2017-05-20 17:06:40.000,10000.0
2017-04-24 21:40:00.000,2017-04-25 00:26:40.000,10000.0
2017-09-01 10:00:00.000,2017-09-01 12:46:40.000,10000.0
2017-09-01 07:13:20.000,2017-09-01 10:00:00.000,10000.0
2017-08-29 07:00:00.000,2017-08-29 09:46:40.000,10000.0
2017-06-11 11:20:00.000,2017-06-11 14:06:40.000,10000.0
2017-08-22 02:46:40.000,2017-08-22 05:33:20.000,10000.0
2017-04-09 09:26:40.000,2017-04-09 12:13:20.000,10000.0
2017-04-01 01:26:40.000,2017-04-01 04:13:20.000,10000.0
2017-03-27 04:46:40.000,2017-03-27 07:33:20.000,10000.0
2017-05-31 19:46:40.000,2017-05-31 22:33:20.000,10000.0
2017-07-12 00:40:00.000,2017-07-12 03:26:40.000,10000.0
2017-05-04 20:33:20.000,2017-05-04 23:20:00.000,10000.0
2017-04-28 00:40:00.000,2017-04-28 03:26:40.000,10000.0
2017-07-10 15:20:00.000,2017-07-10 18:06:40.000,10000.0
2017-09-01 07:13:20.000,2017-09-01 10:00:00.000,10000.0
2017-08-31 06:13:20.000,2017-08-31 09:00:00.000,10000.0
2017-04-22 03:00:00.000,2017-04-22 05:46:40.000,10000.0
2017-04-16 05:20:00.000,2017-04-16 08:06:40.000,10000.0
2017-04-02 05:13:20.000,2017-04-02 08:00:00.000,10000.0
2017-03-31 17:06:40.000,2017-03-31 19:53:20.000,10000.0
2017-03-11 08:13:20.000,2017-03-11 11:00:00.000,10000.0
2017-02-26 11:53:20.000,2017-02-26 14:40:00.000,10000.0
2017-05-06 14:13:20.000,2017-05-06 17:00:00.000,10000.0
