,Average Time,Game_Duration,Time_Per_Move,Number_of_Turns
12336,0.04,3.66,0.15,25
12337,0.02,5.91,0.1,61
12338,0.02,25.69,0.52,49
12339,0.02,17.14,0.3,57
12340,0.02,8.1,0.14,58
12341,0.03,11.0,0.37,30
12342,0.08,2.19,0.18,12
12343,0.03,4.88,0.14,34
12344,0.01,20.43,0.25,81
12345,0.01,20.34,0.19,107
12346,0.06,1.23,0.07,17
12347,0.01,8.83,0.11,78
12348,0.02,6.6,0.16,42
12349,0.17,2.03,0.34,6
12350,0.02,13.24,0.22,61
12351,0.02,7.55,0.15,50
12352,0.01,11.96,0.14,88
12354,0.04,3.96,0.15,26
12355,0.02,22.89,0.49,47
12356,0.2,1.03,0.21,5
12357,0.03,4.78,0.13,37
12358,0.01,23.87,0.22,109
12359,0.02,12.39,0.21,59
12360,0.02,23.5,0.51,46
12361,0.02,33.32,0.67,50
12362,0.03,15.47,0.39,40
12363,0.02,16.68,0.31,53
12364,0.07,3.44,0.23,15
12365,0.02,8.15,0.16,52
12366,0.03,6.96,0.22,32
12367,0.01,15.69,0.16,99
12368,0.05,2.16,0.11,19
12369,0.01,9.69,0.11,89
12370,0.01,9.88,0.14,71
12371,0.02,5.91,0.14,43
12372,0.02,6.13,0.13,48
12373,0.01,21.29,0.12,171
12374,0.03,7.57,0.22,34
12375,0.02,8.29,0.13,63
12376,0.01,15.49,0.2,79
12377,0.02,5.48,0.11,48
12378,0.01,5.68,0.07,76
12379,0.02,4.26,0.08,54
12380,0.01,17.89,0.14,131
12381,0.02,17.17,0.36,48
12382,0.01,14.15,0.16,89
12383,0.01,16.78,0.19,88
12384,0.01,35.98,0.39,92
12385,0.02,44.02,0.76,58
12386,0.02,6.73,0.13,52
12387,0.02,82.6,1.27,65
12388,0.01,15.44,0.21,73
12389,0.02,7.6,0.13,57
12391,0.03,3.19,0.11,29
12392,0.03,3.17,0.08,38
12393,0.02,8.38,0.19,44
12394,0.03,3.3,0.1,33
12395,0.04,1.94,0.08,24
12396,0.07,1.05,0.07,16
12397,0.02,14.41,0.27,53
12398,0.01,10.67,0.12,89
12399,0.04,3.34,0.15,22
12400,0.02,13.11,0.2,67
12401,0.01,10.38,0.09,113
12402,0.01,7.89,0.1,76
12403,0.02,4.93,0.09,55
12425,0.02,3.82,0.07,56
12426,0.02,15.16,0.27,56
12427,0.02,7.27,0.18,41
12428,0.01,8.87,0.12,75
12429,0.02,5.49,0.09,59
12430,0.04,3.76,0.14,27
12432,0.01,16.81,0.2,84
12433,0.03,3.84,0.13,29
12434,0.05,3.0,0.16,19
12435,0.01,53.42,0.68,79
12436,0.01,41.15,0.35,117
12437,0.01,67.18,0.74,91
12438,0.03,34.92,0.97,36
12439,0.01,42.19,0.39,109
12440,0.01,32.53,0.32,101
12441,0.02,18.1,0.32,56
12442,0.01,40.16,0.6,67
12443,0.02,19.6,0.3,66
12444,0.02,124.53,1.95,64
12445,0.01,52.22,0.64,81
12446,0.03,17.5,0.55,32
12447,0.02,157.05,3.21,49
12448,0.1,7.97,0.8,10
12449,0.01,21.09,0.27,77
12450,0.03,41.02,1.21,34
12451,0.03,50.77,1.3,39
12452,0.03,19.4,0.67,29
12453,0.01,91.15,1.04,88
12454,0.02,50.91,0.96,53
12455,0.01,36.87,0.42,88
12456,0.03,20.97,0.58,36
12457,0.01,56.45,0.76,74
12458,0.01,78.44,0.83,94
12459,0.03,18.9,0.51,37
12460,0.03,90.72,2.45,37
12461,0.01,142.76,1.57,91
12462,0.01,116.14,1.68,69
12463,0.02,82.36,1.4,59
12464,0.02,92.92,1.6,58
12465,0.01,51.72,0.54,95
12466,0.03,38.33,1.04,37
12467,0.01,35.63,0.49,73
12468,0.02,17.68,0.41,43
12469,0.02,15.2,0.27,56
12470,0.01,37.56,0.32,119
12471,0.04,11.71,0.43,27
12472,0.01,37.28,0.38,97
12473,0.01,33.54,0.35,97
12474,0.01,27.95,0.37,76
12475,0.03,8.59,0.29,30
12476,0.03,5.96,0.19,32
12477,0.02,24.4,0.51,48
12478,0.03,12.31,0.35,35
12479,0.04,4.81,0.19,25
12480,0.02,9.08,0.17,53
12481,0.02,21.04,0.36,58
12482,0.02,26.07,0.42,62
12483,0.01,48.96,0.64,76
12484,0.06,2.99,0.19,16
12485,0.01,61.28,0.48,127
12486,0.03,11.98,0.4,30
12487,0.01,23.15,0.32,73
12488,0.01,34.51,0.39,88
12489,0.02,11.69,0.22,52
12490,0.02,17.05,0.28,62
12491,0.08,3.95,0.3,13
12492,0.02,24.48,0.47,52
12493,0.01,25.17,0.36,70
12494,0.02,14.17,0.27,52
12495,0.01,10.77,0.11,99
12496,0.03,3.03,0.08,39
12497,0.03,4.02,0.13,31
12498,0.01,14.1,0.11,130
12499,0.03,3.58,0.12,31
12500,0.02,9.77,0.16,62
12501,0.03,2.53,0.08,30
12502,0.01,19.19,0.2,98
12503,0.01,20.0,0.17,116
12504,0.03,2.9,0.08,36
12505,0.02,5.42,0.12,47
12506,0.01,14.37,0.12,116
12507,0.02,8.16,0.13,61
12508,0.03,6.16,0.19,32
12509,0.01,15.46,0.18,87
12510,0.01,12.19,0.11,109
12511,0.04,2.12,0.09,24
12512,0.01,14.24,0.16,87
12513,0.01,18.76,0.19,101
12514,0.01,13.99,0.14,103
12515,0.02,13.71,0.26,53
12516,0.01,17.16,0.19,88
12517,0.03,5.43,0.14,39
12518,0.03,5.73,0.18,31
12519,0.01,15.7,0.13,121
12520,0.01,12.94,0.09,147
12521,0.03,5.32,0.14,38
12522,0.03,3.13,0.1,30
12523,0.01,9.08,0.09,100
12524,0.01,10.23,0.06,170
12525,0.01,7.54,0.09,81
12526,0.01,15.19,0.15,101
12527,0.01,11.41,0.1,116
12528,0.03,1.76,0.06,30
12529,0.01,12.38,0.1,130
12530,0.01,10.65,0.1,105
12531,0.01,8.73,0.12,70
12532,0.04,3.01,0.11,27
12533,0.02,4.05,0.09,44
12534,0.01,11.17,0.07,170
12535,0.04,1.95,0.07,28
12536,0.02,17.43,0.31,57
12537,0.01,15.23,0.17,89
12538,0.01,11.04,0.08,133
12539,0.02,2.12,0.05,39
12540,0.03,4.89,0.15,33
12541,0.03,1.72,0.05,38
12542,0.02,5.1,0.1,49
12543,0.02,2.0,0.05,38
12544,0.01,9.37,0.08,123
12545,0.02,5.06,0.1,49
12546,0.01,15.61,0.11,138
12547,0.01,17.37,0.18,94
12548,0.02,5.6,0.12,46
12549,0.02,3.69,0.09,43
12550,0.01,14.26,0.11,134
12551,0.01,18.33,0.18,102
12552,0.02,8.83,0.16,56
12553,0.01,15.75,0.12,127
12554,0.01,23.71,0.18,130
12555,0.02,9.93,0.15,68
12556,0.01,20.09,0.23,88
12557,0.02,12.58,0.23,54
12558,0.01,21.93,0.17,128
12559,0.01,6.08,0.05,116
12560,0.02,9.08,0.17,54
12561,0.05,2.79,0.15,19
12562,0.01,12.77,0.16,82
12563,0.02,38.13,0.85,45
12564,0.01,15.4,0.21,74
12566,0.02,10.44,0.24,43
12568,0.03,10.07,0.28,36
12569,0.02,6.23,0.13,47
12570,0.02,4.57,0.11,40
12571,0.02,7.57,0.14,53
12572,0.02,9.94,0.18,55
12573,0.01,12.29,0.15,84
12574,0.02,12.8,0.2,64
12575,0.03,4.11,0.11,38
12576,0.02,14.38,0.24,61
12577,0.04,3.4,0.12,28
12578,0.05,2.32,0.11,22
12579,0.02,8.24,0.19,43
12580,0.02,7.1,0.12,57
12581,0.01,16.43,0.18,92
12582,0.02,10.61,0.16,67
12583,0.05,4.37,0.21,21
12584,0.03,3.06,0.1,31
12585,0.01,10.18,0.08,124
12586,0.02,5.65,0.12,49
12587,0.03,5.17,0.13,40
12588,0.02,10.43,0.21,49
12589,0.01,19.14,0.25,78
12590,0.02,9.59,0.17,58
12591,0.01,11.8,0.17,69
12592,0.01,15.7,0.1,155
12593,0.02,9.48,0.2,47
12594,0.07,1.8,0.12,15
12595,0.01,16.95,0.18,95
12596,0.03,7.37,0.22,34
12597,0.02,8.93,0.17,52
12598,0.02,8.4,0.16,52
12599,0.02,9.3,0.2,47
12600,0.03,3.75,0.13,30
12601,0.03,7.23,0.2,37
12602,0.01,17.76,0.17,105
12603,0.02,9.21,0.22,41
12604,0.02,11.65,0.19,60
12605,0.02,9.52,0.18,52
12606,0.01,14.43,0.21,69
12607,0.02,4.39,0.1,45
12608,0.01,18.32,0.16,117
12609,0.02,10.56,0.19,55
12610,0.02,29.26,0.62,47
12611,0.03,16.78,0.56,30
12612,0.01,24.55,0.3,83
12613,0.02,19.15,0.41,47
12614,0.06,6.31,0.37,17
12615,0.01,36.73,0.35,104
12616,0.02,3.61,0.09,41
12617,0.01,11.14,0.1,116
12618,0.02,3.77,0.09,41
12619,0.02,7.08,0.16,43
12620,0.02,6.09,0.12,52
12621,0.02,4.3,0.08,56
12622,0.01,15.11,0.11,134
12623,0.02,14.96,0.25,59
12624,0.01,12.05,0.16,74
12625,0.01,9.95,0.12,81
12626,0.01,16.31,0.1,168
12627,0.03,7.35,0.25,29
12628,0.01,17.73,0.13,132
12629,0.02,7.1,0.13,55
12630,0.01,12.79,0.13,95
12631,0.01,10.67,0.11,101
12632,0.02,5.32,0.11,47
12633,0.01,9.1,0.13,71
12634,0.02,8.37,0.16,52
12636,0.02,3.41,0.07,47
12637,0.02,2.82,0.07,39
12638,0.01,20.78,0.22,93
12639,0.01,6.95,0.1,69
12640,0.05,3.79,0.19,20
12641,0.02,8.72,0.19,45
12642,0.02,15.66,0.31,50
12643,0.02,7.23,0.14,53
12644,0.02,13.88,0.25,56
12680,0.05,7.7,0.35,22
12682,0.02,4.91,0.11,44
12683,0.02,3.94,0.07,55
12684,0.02,6.11,0.11,56
12685,0.03,2.79,0.08,33
12686,0.03,2.63,0.08,31
12687,0.03,3.77,0.11,34
12688,0.01,18.61,0.17,109
12689,0.01,10.1,0.11,96
12690,0.01,5.37,0.08,67
12691,0.01,7.83,0.09,91
12692,0.01,12.89,0.09,138
12693,0.01,16.22,0.18,88
12694,0.03,4.8,0.13,38
12695,0.01,12.46,0.13,98
12696,0.02,8.34,0.14,58
12697,0.02,7.5,0.15,50
12698,0.02,8.21,0.19,43
12699,0.02,6.31,0.12,52
12700,0.01,44.12,0.41,108
12701,0.02,8.19,0.19,43
12702,0.01,7.21,0.08,96
12703,0.01,20.46,0.24,87
12704,0.02,8.55,0.15,56
12705,0.01,14.15,0.13,112
12706,0.01,19.78,0.13,152
12707,0.03,3.85,0.12,33
12708,0.02,7.24,0.14,50
12709,0.02,14.42,0.25,58
12710,0.02,8.19,0.18,45
12711,0.01,18.31,0.15,120
12712,0.03,2.51,0.07,37
12713,0.01,51.42,0.57,90
12714,0.01,24.17,0.35,69
12715,0.01,28.35,0.24,120
12716,0.01,12.04,0.11,109
12717,0.02,10.36,0.2,53
12718,0.01,19.47,0.24,81
12719,0.01,16.74,0.2,85
12720,0.02,16.01,0.26,61
12721,0.02,7.87,0.15,51
12722,0.02,8.32,0.19,43
12723,0.02,12.4,0.24,51
12724,0.02,9.1,0.18,51
12725,0.01,13.84,0.2,69
12726,0.02,13.34,0.25,53
12727,0.06,1.6,0.09,17
12728,0.03,14.32,0.37,39
12729,0.01,18.64,0.24,78
12730,0.02,11.93,0.19,62
12731,0.02,8.37,0.17,49
12732,0.04,5.45,0.2,27
12733,0.03,9.34,0.26,36
12736,0.02,21.57,0.49,44
12737,0.03,16.65,0.48,35
12738,0.02,5.07,0.1,53
12739,0.01,15.83,0.12,131
12740,0.02,11.29,0.23,50
12741,0.04,3.11,0.13,24
12742,0.03,3.62,0.1,36
12743,0.06,1.24,0.08,15
12744,0.02,3.4,0.07,49
12745,0.03,6.53,0.18,37
12747,0.02,65.62,1.56,42
12748,0.01,26.02,0.31,83
12749,0.02,8.75,0.15,59
12750,0.03,38.24,1.32,29
12751,0.06,7.18,0.4,18
12752,0.01,21.64,0.16,138
12753,0.02,16.53,0.29,57
12754,0.03,14.33,0.38,38
12755,0.02,16.79,0.4,42
12756,0.05,12.53,0.57,22
12757,0.04,6.01,0.26,23
12758,0.03,33.74,0.94,36
12759,0.01,45.15,0.49,92
12760,0.06,3.31,0.19,17
12761,0.06,4.2,0.25,17
12762,0.02,9.14,0.14,67
12763,0.02,9.76,0.19,52
12764,0.03,15.1,0.42,36
12765,0.02,20.24,0.45,45
12766,0.02,7.05,0.11,66
12767,0.02,26.12,0.58,45
12768,0.01,16.39,0.22,75
12769,0.01,14.9,0.16,93
12770,0.02,15.52,0.31,50
12774,0.04,14.02,0.58,24
12775,0.02,35.48,0.7,51
12776,0.01,39.53,0.52,76
12777,0.02,15.25,0.34,45
12778,0.01,31.75,0.31,101
12779,0.02,21.98,0.35,63
12780,0.02,14.48,0.28,52
12781,0.01,16.29,0.2,80
12782,0.09,2.15,0.2,11
12783,0.02,11.78,0.2,59
12784,0.01,26.35,0.31,84
12785,0.02,14.5,0.34,43
12786,0.01,35.52,0.34,103
12787,0.01,20.58,0.22,92
12788,0.03,11.07,0.38,29
12789,0.03,26.38,0.8,33
12790,0.07,4.75,0.34,14
12791,0.06,4.13,0.24,17
12792,0.07,1.15,0.08,14
12793,0.05,7.72,0.35,22
12794,0.03,38.22,1.19,32
12795,0.02,14.4,0.28,52
12796,0.04,21.55,0.8,27
12797,0.02,30.0,0.62,48
12798,0.03,13.39,0.34,39
12799,0.01,36.77,0.45,81
12800,0.03,10.33,0.3,34
12801,0.03,12.38,0.36,34
12802,0.01,18.7,0.21,88
12803,0.02,11.65,0.18,64
12805,0.01,9.94,0.09,115
12807,0.05,4.48,0.24,19
12808,0.02,7.15,0.14,51
12809,0.01,13.17,0.16,82
12810,0.02,7.41,0.13,58
12811,0.03,3.65,0.1,36
12812,0.01,20.18,0.17,116
12813,0.01,11.58,0.16,71
12814,0.02,15.45,0.25,62
12815,0.02,5.61,0.11,51
12816,0.06,1.68,0.1,17
12817,0.01,10.94,0.16,69
12818,0.02,12.27,0.28,44
12819,0.03,8.39,0.26,32
12820,0.01,15.42,0.11,137
12821,0.02,8.08,0.15,53
12822,0.02,7.52,0.14,53
12823,0.01,12.57,0.1,124
12824,0.04,11.04,0.46,24
12825,0.01,12.66,0.15,83
12826,0.01,14.37,0.18,80
12827,0.01,20.74,0.28,73
12828,0.03,8.49,0.25,34
12829,0.02,19.48,0.46,42
12830,0.02,31.11,0.54,58
12831,0.03,13.02,0.37,35
12832,0.02,11.42,0.2,57
12833,0.01,15.9,0.12,128
12834,0.01,14.7,0.16,93
12835,0.02,20.15,0.33,61
12836,0.01,27.21,0.32,84
12837,0.01,14.26,0.18,78
12838,0.01,12.24,0.17,74
12839,0.01,20.22,0.16,126
12840,0.01,6.14,0.09,72
12841,0.02,11.71,0.18,66
12842,0.02,9.76,0.2,50
12843,0.02,7.59,0.13,57
12844,0.02,7.67,0.15,52
12845,0.01,13.47,0.18,76
12846,0.01,19.3,0.22,89
12847,0.04,1.66,0.07,25
12848,0.02,6.68,0.11,62
12849,0.03,3.66,0.12,30
12850,0.02,8.64,0.13,67
12851,0.03,5.41,0.15,37
12852,0.05,2.83,0.13,21
12853,0.02,15.58,0.24,66
12854,0.03,3.12,0.1,30
12855,0.02,23.85,0.43,55
12856,0.03,4.77,0.15,32
12857,0.02,8.18,0.17,49
12858,0.02,9.05,0.16,56
12859,0.02,11.05,0.2,56
12860,0.03,5.22,0.14,38
12861,0.02,2.07,0.05,41
12862,0.01,10.09,0.14,72
12863,0.04,2.61,0.11,23
12864,0.01,9.47,0.14,67
12865,0.01,18.79,0.25,76
12866,0.02,8.83,0.16,54
12867,0.01,19.5,0.21,94
12868,0.02,7.17,0.13,57
12869,0.03,5.57,0.14,39
12870,0.02,21.58,0.33,65
12871,0.01,22.72,0.24,96
12872,0.03,8.73,0.24,37
12873,0.01,41.77,0.43,97
12874,0.01,50.45,0.37,135
12875,0.01,26.9,0.27,98
12876,0.02,13.74,0.31,44
12877,0.02,8.58,0.19,44
12878,0.01,37.72,0.41,93
12879,0.01,15.1,0.19,80
12880,0.02,4.96,0.11,45
12881,0.04,1.42,0.06,24
12882,0.01,10.74,0.11,96
12883,0.02,7.04,0.13,55
12884,0.01,13.28,0.18,73
12885,0.05,1.47,0.08,19
12886,0.02,4.67,0.1,48
12887,0.03,4.1,0.12,35
12888,0.02,5.14,0.1,51
12889,0.03,16.18,0.41,39
12890,0.01,99.72,0.59,170
12891,0.02,14.43,0.28,51
12892,0.02,8.86,0.15,58
12893,0.02,5.06,0.11,45
12894,0.02,7.17,0.14,50
12895,0.02,7.63,0.18,42
12896,0.03,13.41,0.36,37
12897,0.01,16.52,0.19,85
12898,0.01,22.85,0.13,171
12899,0.02,11.87,0.19,63
12900,0.01,35.47,0.42,84
12901,0.02,17.68,0.27,65
12902,0.01,16.37,0.14,113
12903,0.01,8.95,0.13,67
12904,0.01,12.19,0.18,68
12905,0.01,13.83,0.16,85
12906,0.01,28.86,0.24,120
12907,0.01,23.7,0.18,134
12908,0.01,23.16,0.21,110
12909,0.02,19.41,0.38,51
12910,0.01,17.93,0.2,89
12911,0.02,7.88,0.18,43
12912,0.01,24.85,0.18,136
12913,0.01,29.85,0.35,86
12914,0.01,17.45,0.18,96
12915,0.02,12.52,0.22,56
12916,0.01,13.13,0.19,68
12917,0.02,9.38,0.2,46
12918,0.01,19.5,0.21,95
12919,0.01,29.71,0.36,82
12920,0.02,14.31,0.29,49
12921,0.01,13.23,0.13,102
12922,0.03,11.76,0.37,32
12923,0.01,18.58,0.18,101
12924,0.01,15.73,0.12,135
12925,0.01,18.53,0.17,107
12926,0.01,20.58,0.18,112
12927,0.03,6.75,0.17,39
12928,0.02,6.74,0.12,55
12929,0.02,7.75,0.16,49
12930,0.04,4.18,0.16,26
12931,0.01,8.07,0.11,75
12937,0.04,3.74,0.14,27
12938,0.01,20.56,0.14,148
12949,0.04,5.06,0.18,28
12955,0.03,6.65,0.18,37
12956,0.04,5.92,0.25,24
12957,0.07,2.91,0.21,14
12958,0.03,7.15,0.18,39
12959,0.01,13.97,0.09,152
12960,0.01,17.1,0.23,74
12961,0.03,3.08,0.09,34
12962,0.01,9.6,0.08,115
12963,0.01,11.37,0.1,117
12964,0.01,8.47,0.09,92
12965,0.01,15.58,0.17,94
12966,0.01,11.74,0.13,90
12967,0.02,9.63,0.17,57
12968,0.02,15.37,0.27,56
12969,0.01,19.97,0.22,92
12970,0.01,14.72,0.12,125
12971,0.02,7.79,0.17,47
12972,0.01,13.71,0.19,72
12973,0.02,5.27,0.12,43
12974,0.01,20.09,0.2,100
12975,0.02,6.91,0.16,44
12976,0.03,11.59,0.29,40
12977,0.02,14.21,0.25,57
12978,0.02,12.67,0.21,60
12979,0.03,4.01,0.14,28
12980,0.01,21.47,0.25,86
12981,0.02,7.47,0.13,56
12982,0.01,7.71,0.08,91
12983,0.02,11.94,0.23,51
12984,0.05,3.52,0.18,20
12985,0.02,10.83,0.19,57
12986,0.01,16.76,0.16,102
12987,0.02,6.84,0.16,43
12988,0.01,18.47,0.23,81
12989,0.01,18.23,0.14,131
12990,0.03,7.17,0.18,39
12991,0.02,2.4,0.06,42
12993,0.01,20.55,0.14,152
12994,0.03,4.95,0.15,34
12995,0.02,11.96,0.28,43
12996,0.01,19.32,0.2,95
12997,0.01,15.09,0.21,73
12998,0.03,4.51,0.14,33
12999,0.03,3.05,0.1,31
13000,0.01,9.73,0.12,84
13001,0.02,6.82,0.12,57
13002,0.01,14.46,0.14,106
13003,0.01,18.72,0.19,98
13004,0.01,16.54,0.15,107
13005,0.01,13.54,0.11,118
13006,0.01,12.11,0.15,83
13007,0.01,30.82,0.31,101
13008,0.05,1.99,0.1,19
13009,0.05,33.02,1.65,20
13010,0.02,13.55,0.22,63
13011,0.01,9.36,0.1,95
13012,0.01,19.62,0.2,100
13013,0.03,4.92,0.16,30
13014,0.03,7.07,0.18,40
13015,0.02,4.44,0.11,42
13016,0.01,59.98,0.5,120
13017,0.01,14.62,0.21,68
13018,0.07,2.33,0.16,15
13019,0.02,4.41,0.11,40
13020,0.04,3.83,0.17,23
13021,0.02,14.03,0.31,45
13022,0.03,9.09,0.25,36
13023,0.02,7.78,0.16,49
13024,0.02,7.44,0.14,55
13025,0.02,8.3,0.19,43
13026,0.05,4.74,0.22,22
13027,0.03,4.38,0.14,32
13028,0.01,13.91,0.18,77
13029,0.02,7.52,0.18,41
13030,0.02,13.21,0.25,53
13031,0.01,15.96,0.23,70
13032,0.01,11.58,0.15,79
13033,0.03,6.22,0.18,34
13034,0.03,5.44,0.14,40
13035,0.02,15.95,0.31,51
13036,0.06,2.37,0.14,17
13037,0.03,10.61,0.27,39
13038,0.03,3.4,0.1,33
13039,0.03,4.45,0.12,36
13040,0.03,5.01,0.13,38
13041,0.07,1.51,0.1,15
13042,0.03,8.17,0.22,37
13043,0.03,5.99,0.15,41
13044,0.01,16.96,0.25,69
13045,0.02,6.22,0.12,51
13046,0.01,11.52,0.16,71
13047,0.01,20.52,0.24,85
13048,0.02,13.77,0.25,56
13049,0.01,16.21,0.17,95
13050,0.01,18.61,0.23,80
13051,0.01,7.66,0.11,69
13052,0.01,10.69,0.13,83
13053,0.01,13.92,0.14,103
13054,0.01,13.73,0.09,151
13055,0.01,18.54,0.15,120
13056,0.01,21.15,0.16,129
13057,0.02,19.42,0.32,60
13058,0.01,10.37,0.1,106
13059,0.04,3.25,0.14,24
13060,0.04,2.27,0.08,29
13061,0.02,11.15,0.21,53
13062,0.04,1.52,0.06,25
13063,0.05,1.11,0.06,19
13064,0.02,6.43,0.15,44
13065,0.1,1.55,0.15,10
13066,0.04,5.81,0.21,28
13067,0.14,2.19,0.31,7
13068,0.01,10.22,0.15,67
13069,0.01,28.43,0.39,73
13070,0.02,18.71,0.37,50
13071,0.05,15.46,0.77,20
13072,0.02,26.1,0.49,53
13073,0.02,46.88,1.17,40
13074,0.01,90.98,0.77,118
13075,0.01,146.24,1.64,89
13076,0.02,11.59,0.24,49
13077,0.01,31.09,0.31,99
13078,0.03,11.14,0.38,29
13079,0.01,144.65,1.33,109
13080,0.02,61.4,1.2,51
13081,0.01,23.2,0.31,76
13082,0.01,94.43,0.96,98
13083,0.09,1.21,0.11,11
13084,0.02,19.96,0.37,54
13085,0.02,11.73,0.28,42
13086,0.02,8.68,0.2,43
13087,0.01,19.74,0.27,73
13088,0.01,22.99,0.15,154
13089,0.01,19.16,0.23,82
13090,0.02,13.27,0.29,45
13091,0.01,33.58,0.49,69
13092,0.01,20.93,0.16,129
13093,0.02,10.15,0.18,57
13095,0.01,18.53,0.19,98
13096,0.03,3.28,0.09,35
13097,0.02,5.69,0.14,41
13098,0.01,11.3,0.15,75
13099,0.01,7.16,0.1,71
13100,0.02,9.14,0.19,48
13101,0.01,14.2,0.13,109
13102,0.08,1.35,0.11,12
13105,0.02,2.83,0.06,49
13106,0.05,2.24,0.11,20
13107,0.08,1.31,0.11,12
13108,0.01,29.05,0.27,108
13109,0.03,3.44,0.11,30
13110,0.01,9.19,0.11,81
13112,0.02,6.96,0.12,58
13113,0.01,35.23,0.37,95
13114,0.02,7.67,0.17,45
13115,0.03,12.31,0.34,36
13116,0.01,14.69,0.21,71
13117,0.01,18.44,0.15,119
13118,0.01,15.26,0.2,75
13119,0.02,6.55,0.16,40
13120,0.02,6.82,0.17,41
13121,0.02,20.14,0.33,61
13122,0.02,10.34,0.2,51
13123,0.02,8.51,0.16,54
13124,0.01,20.64,0.24,87
13125,0.02,8.37,0.14,62
13126,0.01,12.35,0.18,69
13127,0.01,30.41,0.18,169
13128,0.03,6.18,0.18,34
13129,0.01,12.02,0.18,67
13130,0.01,10.97,0.11,99
13131,0.08,1.57,0.12,13
13132,0.02,12.87,0.23,57
13133,0.03,3.89,0.1,38
13134,0.02,10.7,0.2,54
13135,0.03,6.24,0.18,35
13136,0.01,8.02,0.1,79
13137,0.01,11.57,0.17,69
13138,0.03,4.24,0.14,31
13171,0.01,14.19,0.2,71
13172,0.04,3.63,0.16,23
13173,0.01,14.48,0.13,114
13174,0.02,10.31,0.19,54
13175,0.01,16.99,0.15,114
13176,0.02,9.08,0.21,44
13177,0.02,5.12,0.1,51
13178,0.03,4.54,0.14,33
13179,0.02,46.98,0.73,64
13180,0.02,10.72,0.2,53
13181,0.02,10.5,0.18,58
13182,0.03,6.87,0.19,36
13183,0.01,15.57,0.19,83
13184,0.01,57.13,0.8,71
13185,0.01,26.64,0.23,114
13186,0.02,14.12,0.25,56
13187,0.02,8.14,0.19,42
13188,0.02,7.92,0.15,53
13189,0.01,18.42,0.17,109
13190,0.02,11.84,0.26,45
13191,0.01,11.09,0.15,73
13192,0.01,66.96,0.39,170
13193,0.02,9.42,0.23,41
13194,0.01,47.16,0.38,124
13195,0.03,19.17,0.58,33
13196,0.02,25.35,0.63,40
13197,0.01,32.83,0.33,100
13198,0.01,47.92,0.47,101
13199,0.01,50.29,0.59,85
13200,0.01,33.01,0.41,81
13201,0.02,24.65,0.43,57
13202,0.03,11.19,0.36,31
13203,0.02,27.76,0.42,66
13204,0.04,8.23,0.32,26
13205,0.01,25.22,0.32,80
13206,0.01,35.48,0.39,92
13207,0.01,33.06,0.3,110
13208,0.01,35.4,0.45,79
13209,0.07,5.41,0.36,15
13210,0.01,19.12,0.28,68
13211,0.01,37.5,0.3,123
13212,0.03,6.65,0.17,38
13213,0.01,13.09,0.11,115
13214,0.01,17.66,0.15,114
13215,0.02,10.71,0.19,57
13216,0.02,21.89,0.41,54
13217,0.01,35.72,0.52,69
13218,0.25,2.86,0.72,4
13219,0.01,16.21,0.12,132
13220,0.02,10.09,0.18,55
13221,0.02,14.91,0.28,54
13222,0.01,23.38,0.19,125
13223,0.01,11.88,0.16,72
13224,0.02,56.02,0.97,58
13225,0.01,53.96,0.76,71
13226,0.02,25.86,0.47,55
13227,0.01,91.61,1.29,71
13228,0.02,12.99,0.27,48
13229,0.01,11.01,0.14,77
13230,0.0,24.99,0.11,218
13234,0.02,4.53,0.07,62
13236,0.5,80.67,40.33,2
13240,0.06,1.12,0.07,15
13241,0.04,4.25,0.16,26
13242,0.03,4.31,0.11,38
13243,0.01,8.31,0.12,69
13244,0.02,5.27,0.12,44
13245,0.03,2.6,0.07,37
13246,0.01,4.7,0.07,64
13248,0.01,23.1,0.21,108
13249,0.01,17.98,0.19,93
13250,0.01,13.78,0.18,77
13251,0.02,11.34,0.21,53
13252,0.02,11.95,0.23,51
13253,0.01,24.61,0.26,93
13254,0.03,3.85,0.1,39
13255,0.02,16.14,0.31,52
13256,0.07,2.73,0.18,15
13257,0.03,7.18,0.22,33
13258,0.03,3.82,0.12,32
13259,0.04,3.54,0.13,28
13260,0.03,4.09,0.13,32
13261,0.02,9.2,0.23,40
13262,0.01,12.33,0.13,95
13263,0.04,4.68,0.17,28
13264,0.02,5.8,0.1,57
13265,0.04,3.43,0.15,23
13266,0.02,7.65,0.17,45
13267,0.17,1.26,0.21,6
13268,0.02,8.6,0.17,52
13272,0.03,6.48,0.21,31
13273,0.01,68.97,0.88,78
13274,0.01,10.44,0.11,91
13275,0.01,83.18,0.69,120
13276,0.02,49.26,1.03,48
13277,0.01,38.05,0.41,93
13278,0.02,11.89,0.19,61
13279,0.06,1.97,0.12,17
13280,0.02,6.89,0.13,54
13281,0.03,2.15,0.07,29
13282,0.01,5.76,0.05,121
13283,0.03,5.07,0.14,37
13284,0.01,18.16,0.27,68
13285,0.01,8.03,0.1,84
13286,0.01,14.32,0.11,136
13287,0.01,7.88,0.07,106
13288,0.01,7.8,0.11,70
13289,0.02,3.13,0.07,44
13290,0.02,5.96,0.12,51
13291,0.02,4.56,0.09,50
13292,0.02,5.21,0.13,39
13293,0.01,13.93,0.15,90
13294,0.01,10.29,0.11,91
13295,0.01,8.7,0.07,119
