,Average Time,Game_Duration,Time_Per_Move,Number_of_Turns
10744,0.01,22.3,0.29,76
10745,0.01,18.5,0.26,72
10746,0.02,17.11,0.33,52
10747,0.03,11.89,0.32,37
10748,0.12,2.59,0.32,8
10749,0.01,19.33,0.23,84
10750,0.01,20.51,0.2,103
10751,0.03,14.79,0.45,33
10752,0.08,9.05,0.7,13
10753,0.04,8.51,0.35,24
10754,0.03,10097.41,288.5,35
10755,0.05,24.74,1.24,20
10756,0.01,23.77,0.25,95
10757,0.02,6.34,0.11,56
10758,0.01,10.9,0.15,75
10759,0.03,3.64,0.1,36
10760,0.04,5.02,0.21,24
10761,0.01,6.05,0.07,83
10762,0.02,8.68,0.16,55
10763,0.01,8.18,0.09,96
10764,0.01,10.96,0.12,93
10765,0.02,7.02,0.15,46
10766,0.08,1.83,0.15,12
10767,0.12,2.02,0.25,8
10768,0.03,8.71,0.26,33
10770,0.09,1.41,0.13,11
10771,0.12,1.13,0.13,9
10773,0.05,1.98,0.09,21
10775,0.03,9.07,0.23,40
10776,0.02,12.75,0.24,54
10777,0.06,2.08,0.13,16
10778,0.09,2.97,0.27,11
10779,0.01,16.94,0.23,73
10781,0.04,6.86,0.29,24
10782,0.06,1.83,0.11,17
10783,0.07,1.34,0.09,15
10784,0.04,2.06,0.09,24
10785,0.03,14.03,0.48,29
10786,0.02,9.55,0.17,57
10787,0.05,4.9,0.26,19
10788,0.02,12.43,0.2,63
10789,0.02,9.4,0.15,64
10790,0.04,5.99,0.26,23
10791,0.01,18.39,0.18,100
10792,0.5,8.9,4.45,2
10793,0.02,9.43,0.15,64
10794,0.01,21.6,0.25,85
10795,0.02,11.72,0.22,53
10796,0.01,10.18,0.12,88
10797,0.06,4.34,0.26,17
10798,0.02,4.0,0.1,41
10799,0.02,7.76,0.17,46
10800,0.02,11.05,0.18,61
10801,0.01,24.31,0.26,93
10802,0.04,7.71,0.27,29
10803,0.02,11.23,0.22,51
10804,0.02,9.53,0.15,62
10805,0.02,14.75,0.25,59
10806,0.03,12.91,0.33,39
10807,0.01,23.24,0.2,118
10808,0.01,20.4,0.2,104
10809,0.04,3.74,0.16,24
10810,0.02,36.69,0.63,58
10811,0.01,8.52,0.12,73
10812,0.02,9.57,0.23,41
10814,0.03,3.11,0.09,35
10815,0.05,2.67,0.13,21
10816,0.02,11.41,0.24,47
10817,0.01,28.95,0.32,91
10818,0.02,13.07,0.32,41
10819,0.01,35.37,0.22,159
10820,0.02,16.79,0.32,53
10821,0.01,17.25,0.18,96
10822,0.05,2.18,0.11,19
10823,0.01,17.06,0.17,102
10824,0.02,15.13,0.23,67
10825,0.04,6.03,0.23,26
10826,0.01,35.02,0.25,141
10827,0.01,29.73,0.23,131
10828,0.01,11.53,0.15,78
10829,0.02,14.88,0.26,58
10830,0.02,14.17,0.22,63
10831,0.05,12.66,0.58,22
10832,0.03,25.1,0.72,35
10833,0.05,17.63,0.93,19
10834,0.11,10.79,1.2,9
10835,0.06,34.97,2.19,16
10836,0.02,68.18,1.52,45
10837,0.1,27.36,2.74,10
10838,0.05,55.96,2.66,21
10839,0.05,27.48,1.31,21
10840,0.25,3.54,0.89,4
10841,0.01,91.7,1.05,87
10842,0.02,20.24,0.31,65
10843,0.03,6.6,0.17,39
10844,0.03,14.9,0.39,38
10846,0.03,7.98,0.27,30
10847,0.03,14.89,0.51,29
10848,0.03,8.27,0.24,35
10849,0.03,11.63,0.3,39
10850,0.02,22.66,0.44,51
10851,0.01,23.1,0.27,84
10852,0.04,9.53,0.35,27
10853,0.02,7.94,0.18,43
10854,0.05,3.84,0.2,19
10855,0.04,2.25,0.08,27
10856,0.02,7.62,0.19,40
10857,0.01,16.55,0.19,89
10858,0.04,2.72,0.12,22
10859,0.01,17.91,0.21,84
10860,0.02,20.06,0.36,55
10861,0.03,7.55,0.23,33
10862,0.02,9.6,0.15,65
10863,0.03,6.88,0.21,32
10864,0.04,4.76,0.17,28
10865,0.02,15.15,0.29,52
10866,0.02,8.68,0.18,49
10867,0.01,9.44,0.14,69
10868,0.01,9.74,0.12,83
10869,0.01,14.07,0.12,114
10870,0.01,16.99,0.13,126
10871,0.03,6.17,0.21,30
10872,0.01,11.49,0.15,78
10873,0.02,12.67,0.26,49
10874,0.01,26.33,0.26,101
10875,0.02,9.01,0.18,51
10876,0.01,10.47,0.14,73
10877,0.02,10.5,0.16,66
10878,0.01,12.98,0.15,84
10879,0.02,8.56,0.19,46
10880,0.01,16.47,0.19,85
10881,0.02,13.47,0.24,55
10882,0.02,11.97,0.23,51
10883,0.01,14.48,0.16,93
10884,0.03,3.26,0.11,31
10885,0.02,8.11,0.16,51
10886,0.02,8.45,0.16,54
10887,0.03,7.8,0.21,38
10888,0.03,10.54,0.35,30
10889,0.01,46.26,0.47,98
10890,0.02,28.41,0.57,50
10891,0.04,6.26,0.27,23
10892,0.02,31.88,0.57,56
10893,0.03,11.81,0.36,33
10894,0.02,12.98,0.27,48
10895,0.01,27.37,0.4,68
10896,0.03,7.68,0.21,37
10897,0.01,51.23,0.68,75
10898,0.03,7.32,0.22,34
10899,0.02,14.78,0.26,57
10900,0.01,25.91,0.38,68
10901,0.02,14.86,0.28,54
10902,0.02,19.02,0.32,60
10903,0.02,14.37,0.3,48
10904,0.01,29.1,0.39,75
10905,0.03,4.59,0.15,30
10906,0.01,39.63,0.35,113
10907,0.02,49.33,0.9,55
10908,0.01,36.67,0.49,75
10909,0.01,29.06,0.37,78
10910,0.05,6.92,0.35,20
10911,0.02,13.44,0.22,62
10912,0.02,10.28,0.21,48
10913,0.01,14.78,0.22,66
10914,0.01,15.64,0.21,75
10915,0.02,30.4,0.49,62
10916,0.02,18.57,0.42,44
10917,0.03,14.69,0.38,39
10918,0.01,16.53,0.18,94
10919,0.02,8.72,0.21,41
10920,0.17,9.54,1.59,6
10921,0.01,15.71,0.23,68
10922,0.02,16.03,0.29,55
10923,0.01,48.93,0.48,101
10924,0.03,8.28,0.24,34
10925,0.05,5.83,0.28,21
10926,0.01,14.42,0.18,82
10927,0.02,22.52,0.44,51
10928,0.02,15.57,0.32,48
10929,0.08,2.62,0.2,13
10930,0.01,17.49,0.23,75
10931,0.03,9.41,0.27,35
10932,0.01,35.67,0.33,108
10933,0.01,71.39,0.5,144
10934,0.02,12.26,0.23,53
10935,0.02,17.94,0.34,52
10936,0.02,24.05,0.41,59
10937,0.01,16.53,0.21,78
10938,0.01,14.99,0.2,74
10939,0.01,21.45,0.21,104
10940,0.01,18.95,0.23,82
10941,0.01,24.77,0.28,88
10942,0.02,27.7,0.45,61
10943,0.01,29.51,0.4,73
10944,0.01,33.85,0.44,77
10945,0.01,27.95,0.23,122
10946,0.01,41.71,0.27,157
10947,0.01,12.04,0.18,67
10948,0.04,4.62,0.2,23
10949,0.02,13.26,0.27,50
10950,0.02,18.83,0.38,49
10951,0.03,7.48,0.23,33
10952,0.01,25.54,0.29,89
10953,0.03,26.62,0.72,37
10954,0.01,41.46,0.38,110
10955,0.02,12.75,0.28,46
10956,0.01,26.44,0.34,77
10957,0.06,2.65,0.15,18
10958,0.01,41.65,0.36,117
10959,0.02,36.54,0.66,55
10960,0.01,34.99,0.49,72
10961,0.02,19.53,0.34,58
10962,0.01,21.49,0.29,75
10963,0.07,2.07,0.15,14
10964,0.03,7.87,0.23,34
10965,0.02,16.56,0.35,48
10966,0.01,20.46,0.19,110
10967,0.02,21.54,0.4,54
10968,0.03,10.39,0.3,35
10969,0.03,15.74,0.43,37
10970,0.02,19.02,0.37,52
10971,0.01,14.73,0.21,71
10972,0.01,29.85,0.2,151
10973,0.02,15.49,0.26,60
10974,0.01,21.22,0.25,86
10975,0.01,19.21,0.25,77
10976,0.13,1.41,0.18,8
10977,0.02,5.27,0.08,62
10978,0.03,6.03,0.16,37
10979,0.01,19.6,0.15,130
10980,0.03,6.99,0.22,32
10981,0.05,2.76,0.15,19
10982,0.02,10.28,0.19,54
10983,0.02,14.46,0.22,67
10984,0.01,29.14,0.17,175
10985,0.02,6.23,0.11,55
10987,0.02,5.64,0.11,52
10988,0.01,11.9,0.09,137
10989,0.01,12.89,0.09,147
10990,0.02,6.44,0.13,48
10991,0.02,8.07,0.13,60
10992,0.01,14.87,0.11,131
10993,0.02,4.15,0.1,42
10994,0.02,20.96,0.37,56
10995,0.03,5.05,0.14,37
10996,0.02,6.69,0.12,55
10997,0.03,31.58,0.88,36
10998,0.04,4.13,0.18,23
10999,0.02,8.04,0.2,40
11000,0.01,22.63,0.27,85
11001,0.02,11.72,0.24,48
11003,0.03,3.62,0.1,35
11004,0.05,3.77,0.2,19
11005,0.02,7.18,0.13,56
11006,0.01,20.23,0.2,100
11007,0.02,15.98,0.35,46
11008,0.02,17.46,0.27,65
11009,0.02,23.61,0.49,48
11010,0.04,2.72,0.11,25
11011,0.03,27.33,0.7,39
11012,0.01,36.15,0.2,177
11013,0.01,27.05,0.31,88
11014,0.02,9.53,0.18,53
11015,0.06,3.95,0.25,16
11016,0.03,35.2,1.21,29
11017,0.04,40.64,1.45,28
11018,0.02,26.2,0.47,56
11019,0.01,16.82,0.23,73
11020,0.01,12.84,0.18,70
11021,0.02,13.29,0.27,49
11022,0.14,32.32,4.62,7
11023,0.02,8.44,0.19,44
11024,0.01,8.99,0.09,98
11025,0.02,19.75,0.32,61
11026,0.02,8.19,0.16,50
11027,0.02,10.94,0.19,57
11028,0.03,20.27,0.52,39
11029,0.02,8.11,0.19,42
11030,0.04,6.45,0.23,28
11031,0.01,24.07,0.3,81
11032,0.02,30.05,0.46,66
11033,0.01,13.71,0.1,132
11034,0.02,9.27,0.16,59
11035,0.02,7.86,0.19,41
11036,0.02,6.63,0.16,42
11037,0.01,12.41,0.15,85
11038,0.03,8.05,0.22,37
11039,0.02,11.48,0.23,51
11040,0.01,20.88,0.29,73
11041,0.01,17.85,0.22,81
11042,0.03,4.24,0.11,37
11043,0.02,5.17,0.11,46
11044,0.01,16.55,0.18,94
11045,0.01,9.22,0.11,85
11046,0.01,11.21,0.12,95
11047,0.01,15.36,0.14,106
11048,0.02,6.66,0.11,58
11049,0.1,1.71,0.17,10
11050,0.07,2.71,0.19,14
11051,0.02,12.83,0.27,48
11052,0.03,4.75,0.12,38
11053,0.01,14.49,0.17,85
11054,0.01,7.56,0.11,68
11055,0.08,1.82,0.14,13
11056,0.01,12.95,0.13,101
11057,0.02,8.41,0.15,58
11058,0.02,14.07,0.26,54
11059,0.01,16.26,0.23,72
11060,0.01,12.75,0.17,73
11061,0.01,16.98,0.2,86
11062,0.01,17.81,0.15,118
11063,0.02,5.84,0.11,54
11064,0.01,19.46,0.15,134
11065,0.01,13.37,0.14,96
11066,0.01,15.68,0.22,70
11067,0.02,7.64,0.15,51
11068,0.01,17.4,0.23,75
