White_Player-ID,Game_ID,Black_Player_ID
eric_s,otdzaTLb,blazzika
eric_s,pnUiYHYo,mikmikci
eric_s,YMiyy1mZ,rive
chessguy60,3wL1Yzki,bilrost
f3manga,T5M34F4W,awesomenessrichard
m_a_r_c_u_s5973,ebl2YlrJ,awesomenessrichard
pine138,OdJHMn02,awesomenessrichard
awesomenessrichard,uGuoeGsc,tsi
ur-ru,lqtIurpJ,witnik
jgb-lobo,Rq5dDXtu,ur-ru
ur-ru,ro6YV4Nk,infested
ur-ru,2PAwnrXN,blitz33
zembelek,DC1d5QWd,ur-ru
ur-ru,rdWkYoUB,mth90
emphasis,DqQRZe8T,ur-ru
sikoku71,pyLvshFK,ur-ru
ur-ru,rorqJ7ny,siavash1338
anatolii76,M0Wm8L5d,ur-ru
ur-ru,CTzcye1m,berovel
mahshid,H2yp1ons,ur-ru
gool1,Z0Yucvgu,ur-ru
alamsyahwk,SS1yeeSs,ur-ru
ur-ru,roobN3TP,mladenz89
ur-ru,yAMXlSxM,xxxlucasxxx
ur-ru,cYrclVmM,talomedina
sakisan,rKKIW4PJ,ur-ru
atacante,iHadiBiU,ur-ru
ur-ru,8NwsfbjO,alexanderx
ur-ru,DS3xl3Q4,wazabanja
hazeh,OHwgelWu,venomindustries
bumf,5BwhNheD,staccato_allegro
staccato_allegro,w6zqfhuO,picpic
staccato_allegro,hRiMojQM,mekaprofili
mekaprofili,Y3fRuopv,staccato_allegro
mortzaa11,C7lT77x8,mohsen987
peixinho,aymcj3Hr,dogmang
dogmang,W12YyI4z,blauerturm
dogmang,sonJbky4,vlad_imir
dogmang,Km62hxe5,jaybird
dogmang,U7I9Cba8,gerardsan15
dogmang,FXGSmH7e,marronnes
dogmang,A75niRgn,marronnes
magnus,N572gIDZ,dogmang
orlaine,tcLBn6hu,dogmang
dogmang,aO2ifNjj,taborluna
levp,VMry8u17,dogmang
dogmang,t6gagL5a,frella
bimi,ictXlymz,bb1359
elfortin,ToAvscgy,redevening
the-hacker,tcUVmqCf,redevening
redevening,Lb8cN6w5,pupasso
amir021021021,7MLLt4gR,redevening
iniciante07,3C4nWcmf,redevening
tr1numara,Ugfn1onW,redevening
redevening,uuqb18EP,bashscript
bashscript,D859n4rf,redevening
bilel16,FgDD4fZI,redevening
redevening,MbfSD60K,bilel16
redevening,hTC7kfx9,jojo58
jojo58,UpFRBQUs,redevening
redevening,u97enBOO,eightpromotions
wozza,vpxMcdw8,redevening
redevening,o9wcvI74,hoktar
redevening,lrbGMtxy,hoktar
redevening,vVljT231,castroprauxel
merefelle,zuagwUSi,redevening
kings77,dByHjHwL,redevening
maiden07,zcogtzLw,aze2
catalanswanttovote,nTUQdw6m,maiden07
maiden07,5zAP1SOI,jusch
mtabbakh2014,Iw4qlIiR,maiden07
tiosaulo,HVOv7erB,maiden07
maiden07,qb4JUKki,vemil66
maiden07,jRJu2iO5,sekeling
brainstorm1994,BuvszjJ7,maiden07
gianiarch,PYhyYsAQ,maiden07
jaraujolima,hXRZCnVf,qwertygotousakorea
qwertygotousakorea,P8j1Sblw,jam0h101
qwertygotousakorea,rZDhnp9r,qwertygotousakorea
jonkuc,2MaPQVeB,brodski
brodski,xHR40apb,jonkuc
jonkuc,UTH6E5B6,brodski
terminator2,RebUNQFN,jonkuc
welcome0001,E96MC3Cv,jonkuc
cookie11,fSrN3H4V,sk14
davidc87,syd1IGLL,digvijay
lusert,kCAaN0aX,davidc87
keshav_soni,ZbQDBgz8,davidc87
menok,UvX0bacP,davidc87
davidc87,i070jbuW,menok
chessonline128,sb16k5Xo,davidc87
tosho,Iw5DtRN0,davidc87
davidc87,1GPTxeIY,almirbiser
davidc87,aA3KsGYR,sigma36
davidc87,ncuHKIQF,peterpan88
tonidamigo,1olrd1FQ,davidc87
davidc87,N8BEsFIy,tonidamigo
orloff82,Hyp0AZpA,davidc87
